"","state","jurisdiction","candidate","county","year","office","party","mode","stage","version","writein","unofficial","source","dataverse","caucus","votes"
"71","New Hampshire","ALEXANDRIA","BULLOCK","GRAFTON",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",0
"72","New Hampshire","ALEXANDRIA","BURKE","GRAFTON",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",0
"73","New Hampshire","ALEXANDRIA","BUTTIGIEG","GRAFTON",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",67
"74","New Hampshire","ALEXANDRIA","CASTRO","GRAFTON",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",0
"75","New Hampshire","ALEXANDRIA","DE LA FUENTE","GRAFTON",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",0
"76","New Hampshire","ALEXANDRIA","DELANEY","GRAFTON",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",0
"77","New Hampshire","ALEXANDRIA","DUNLAP","GRAFTON",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",0
"78","New Hampshire","ALEXANDRIA","ELLINGER","GRAFTON",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",0
"79","New Hampshire","ALEXANDRIA","GABBARD","GRAFTON",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",15
"80","New Hampshire","ALEXANDRIA","GLEIBERMAN","GRAFTON",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",0
"81","New Hampshire","ALEXANDRIA","GREENSTEIN","GRAFTON",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",0
"82","New Hampshire","ALEXANDRIA","HARRIS","GRAFTON",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",0
"83","New Hampshire","ALEXANDRIA","HEWES","GRAFTON",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",0
"84","New Hampshire","ALEXANDRIA","KLOBUCHAR","GRAFTON",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",70
"85","New Hampshire","ALEXANDRIA","KOOS","GRAFTON",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",0
"86","New Hampshire","ALEXANDRIA","KRAUS","GRAFTON",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",0
"87","New Hampshire","ALEXANDRIA","KRICHEVSKY","GRAFTON",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",0
