"state","candidate","votes","county","party","jurisdiction","source","state_po","state_fips","state_cen","state_ic","year","office","caucus","version","unofficial","mode","stage","dataverse"
"Tennessee","BERNIE SANDERS",1239,"BRADLEY","democrat","BRADLEY","https://elections.tn.gov/results","TN",47,62,54,2020,"president","FALSE","03/12/2020","TRUE","total","pri","president"
"Tennessee","MICHAEL R. BLOOMBERG",706,"BRADLEY","democrat","BRADLEY","https://elections.tn.gov/results","TN",47,62,54,2020,"president","FALSE","03/12/2020","TRUE","total","pri","president"
"Tennessee","ELIZABETH WARREN",360,"BRADLEY","democrat","BRADLEY","https://elections.tn.gov/results","TN",47,62,54,2020,"president","FALSE","03/12/2020","TRUE","total","pri","president"
"Tennessee","PETE BUTTIGIEG",174,"BRADLEY","democrat","BRADLEY","https://elections.tn.gov/results","TN",47,62,54,2020,"president","FALSE","03/12/2020","TRUE","total","pri","president"
"Tennessee","AMY KLOBUCHAR",155,"BRADLEY","democrat","BRADLEY","https://elections.tn.gov/results","TN",47,62,54,2020,"president","FALSE","03/12/2020","TRUE","total","pri","president"
"Tennessee","TULSI GABBARD",29,"BRADLEY","democrat","BRADLEY","https://elections.tn.gov/results","TN",47,62,54,2020,"president","FALSE","03/12/2020","TRUE","total","pri","president"
"Tennessee","TOM STEYER",19,"BRADLEY","democrat","BRADLEY","https://elections.tn.gov/results","TN",47,62,54,2020,"president","FALSE","03/12/2020","TRUE","total","pri","president"
"Tennessee","ANDREW YANG",12,"BRADLEY","democrat","BRADLEY","https://elections.tn.gov/results","TN",47,62,54,2020,"president","FALSE","03/12/2020","TRUE","total","pri","president"
"Tennessee","UNCOMMITTED",12,"BRADLEY","democrat","BRADLEY","https://elections.tn.gov/results","TN",47,62,54,2020,"president","FALSE","03/12/2020","TRUE","total","pri","president"
"Tennessee","CORY BOOKER",11,"BRADLEY","democrat","BRADLEY","https://elections.tn.gov/results","TN",47,62,54,2020,"president","FALSE","03/12/2020","TRUE","total","pri","president"
"Tennessee","MICHAEL BENNET",8,"BRADLEY","democrat","BRADLEY","https://elections.tn.gov/results","TN",47,62,54,2020,"president","FALSE","03/12/2020","TRUE","total","pri","president"
"Tennessee","JOHN K. DELANEY",4,"BRADLEY","democrat","BRADLEY","https://elections.tn.gov/results","TN",47,62,54,2020,"president","FALSE","03/12/2020","TRUE","total","pri","president"
"Tennessee","JULIÁN CASTRO",2,"BRADLEY","democrat","BRADLEY","https://elections.tn.gov/results","TN",47,62,54,2020,"president","FALSE","03/12/2020","TRUE","total","pri","president"
"Tennessee","MARIANNE WILLIAMSON",1,"BRADLEY","democrat","BRADLEY","https://elections.tn.gov/results","TN",47,62,54,2020,"president","FALSE","03/12/2020","TRUE","total","pri","president"
"Tennessee","DEVAL PATRICK",0,"BRADLEY","democrat","BRADLEY","https://elections.tn.gov/results","TN",47,62,54,2020,"president","FALSE","03/12/2020","TRUE","total","pri","president"
"Tennessee","JOSEPH R. BIDEN",525,"CAMPBELL","democrat","CAMPBELL","https://elections.tn.gov/results","TN",47,62,54,2020,"president","FALSE","03/12/2020","TRUE","total","pri","president"
"Tennessee","BERNIE SANDERS",255,"CAMPBELL","democrat","CAMPBELL","https://elections.tn.gov/results","TN",47,62,54,2020,"president","FALSE","03/12/2020","TRUE","total","pri","president"
"Tennessee","MICHAEL R. BLOOMBERG",205,"CAMPBELL","democrat","CAMPBELL","https://elections.tn.gov/results","TN",47,62,54,2020,"president","FALSE","03/12/2020","TRUE","total","pri","president"
"Tennessee","ELIZABETH WARREN",83,"CAMPBELL","democrat","CAMPBELL","https://elections.tn.gov/results","TN",47,62,54,2020,"president","FALSE","03/12/2020","TRUE","total","pri","president"
"Tennessee","PETE BUTTIGIEG",15,"CAMPBELL","democrat","CAMPBELL","https://elections.tn.gov/results","TN",47,62,54,2020,"president","FALSE","03/12/2020","TRUE","total","pri","president"
"Tennessee","AMY KLOBUCHAR",13,"CAMPBELL","democrat","CAMPBELL","https://elections.tn.gov/results","TN",47,62,54,2020,"president","FALSE","03/12/2020","TRUE","total","pri","president"
