"office","party_detailed","party_simplified","mode","votes","county_name","county_fips","jurisdiction_name","jurisdiction_fips","candidate","district","dataverse","year","stage","state","special","writein","state_po","state_fips","state_cen","state_ic","readme_check"
"US PRESIDENT","REPUBLICAN","REPUBLICAN","TOTAL",198,"ST. JOHNS",12109,"ST. JOHNS",12109,"Roque 'Rocky' De La Fuente","statewide","president",2020,"pri","Florida",FALSE,FALSE,"FL",12,59,43,FALSE
"US PRESIDENT","REPUBLICAN","REPUBLICAN","TOTAL",139,"ST. LUCIE",12111,"ST. LUCIE",12111,"Roque 'Rocky' De La Fuente","statewide","president",2020,"pri","Florida",FALSE,FALSE,"FL",12,59,43,FALSE
"US PRESIDENT","REPUBLICAN","REPUBLICAN","TOTAL",99,"SUMTER",12119,"SUMTER",12119,"Roque 'Rocky' De La Fuente","statewide","president",2020,"pri","Florida",FALSE,FALSE,"FL",12,59,43,FALSE
"US PRESIDENT","REPUBLICAN","REPUBLICAN","TOTAL",10,"SUWANNEE",12121,"SUWANNEE",12121,"Roque 'Rocky' De La Fuente","statewide","president",2020,"pri","Florida",FALSE,FALSE,"FL",12,59,43,FALSE
"US PRESIDENT","REPUBLICAN","REPUBLICAN","TOTAL",3,"TAYLOR",12123,"TAYLOR",12123,"Roque 'Rocky' De La Fuente","statewide","president",2020,"pri","Florida",FALSE,FALSE,"FL",12,59,43,FALSE
"US PRESIDENT","REPUBLICAN","REPUBLICAN","TOTAL",5,"UNION",12125,"UNION",12125,"Roque 'Rocky' De La Fuente","statewide","president",2020,"pri","Florida",FALSE,FALSE,"FL",12,59,43,FALSE
"US PRESIDENT","REPUBLICAN","REPUBLICAN","TOTAL",303,"VOLUSIA",12127,"VOLUSIA",12127,"Roque 'Rocky' De La Fuente","statewide","president",2020,"pri","Florida",FALSE,FALSE,"FL",12,59,43,FALSE
"US PRESIDENT","REPUBLICAN","REPUBLICAN","TOTAL",15,"WAKULLA",12129,"WAKULLA",12129,"Roque 'Rocky' De La Fuente","statewide","president",2020,"pri","Florida",FALSE,FALSE,"FL",12,59,43,FALSE
"US PRESIDENT","REPUBLICAN","REPUBLICAN","TOTAL",32,"WALTON",12131,"WALTON",12131,"Roque 'Rocky' De La Fuente","statewide","president",2020,"pri","Florida",FALSE,FALSE,"FL",12,59,43,FALSE
"US PRESIDENT","REPUBLICAN","REPUBLICAN","TOTAL",10,"WASHINGTON",12133,"WASHINGTON",12133,"Roque 'Rocky' De La Fuente","statewide","president",2020,"pri","Florida",FALSE,FALSE,"FL",12,59,43,FALSE
"US PRESIDENT","REPUBLICAN","REPUBLICAN","TOTAL",9178,"ALACHUA",12001,"ALACHUA",12001,"Donald J. Trump","statewide","president",2020,"pri","Florida",FALSE,FALSE,"FL",12,59,43,FALSE
"US PRESIDENT","REPUBLICAN","REPUBLICAN","TOTAL",3074,"BAKER",12003,"BAKER",12003,"Donald J. Trump","statewide","president",2020,"pri","Florida",FALSE,FALSE,"FL",12,59,43,FALSE
"US PRESIDENT","REPUBLICAN","REPUBLICAN","TOTAL",13250,"BAY",12005,"BAY",12005,"Donald J. Trump","statewide","president",2020,"pri","Florida",FALSE,FALSE,"FL",12,59,43,FALSE
"US PRESIDENT","REPUBLICAN","REPUBLICAN","TOTAL",2756,"BRADFORD",12007,"BRADFORD",12007,"Donald J. Trump","statewide","president",2020,"pri","Florida",FALSE,FALSE,"FL",12,59,43,FALSE
"US PRESIDENT","REPUBLICAN","REPUBLICAN","TOTAL",53104,"BREVARD",12009,"BREVARD",12009,"Donald J. Trump","statewide","president",2020,"pri","Florida",FALSE,FALSE,"FL",12,59,43,FALSE
"US PRESIDENT","REPUBLICAN","REPUBLICAN","TOTAL",40176,"BROWARD",12011,"BROWARD",12011,"Donald J. Trump","statewide","president",2020,"pri","Florida",FALSE,FALSE,"FL",12,59,43,FALSE
"US PRESIDENT","REPUBLICAN","REPUBLICAN","TOTAL",939,"CALHOUN",12013,"CALHOUN",12013,"Donald J. Trump","statewide","president",2020,"pri","Florida",FALSE,FALSE,"FL",12,59,43,FALSE
"US PRESIDENT","REPUBLICAN","REPUBLICAN","TOTAL",13147,"CHARLOTTE",12015,"CHARLOTTE",12015,"Donald J. Trump","statewide","president",2020,"pri","Florida",FALSE,FALSE,"FL",12,59,43,FALSE
"US PRESIDENT","REPUBLICAN","REPUBLICAN","TOTAL",18556,"CITRUS",12017,"CITRUS",12017,"Donald J. Trump","statewide","president",2020,"pri","Florida",FALSE,FALSE,"FL",12,59,43,FALSE
